"","thresholds","TPR","FPR","NB","time","model"
"1594",0.092316128012622,0.118884897810413,0.881115102189587,0.0292709506225094,12,"All-12"
"1595",0.0932685444014356,0.118884897810413,0.881115102189587,0.028251312172761,12,"All-12"
"1596",0.0934472889038493,0.118884897810413,0.881115102189587,0.0280597130152594,12,"All-12"
"1597",0.0943665541526393,0.118884897810413,0.881115102189587,0.0270731428595072,12,"All-12"
"1598",0.0952239092731696,0.118884897810413,0.881115102189587,0.0261512088789123,12,"All-12"
"1599",0.0955080361238116,0.118884897810413,0.881115102189587,0.0258452950609089,12,"All-12"
"1600",0.0956737495683845,0.118884897810413,0.881115102189587,0.0256667858872282,12,"All-12"
"1601",0.0956790951923663,0.118884897810413,0.881115102189587,0.0256610264063095,12,"All-12"
"1602",0.0958747655115051,0.118884897810413,0.881115102189587,0.0254501604657959,12,"All-12"
"1603",0.09702415834334,0.118884897810413,0.881115102189587,0.0242096614976603,12,"All-12"
"1604",0.097449588470354,0.118884897810413,0.881115102189587,0.0237497086769148,12,"All-12"
"1605",0.098135982107038,0.118884897810413,0.881115102189587,0.0230067008902857,12,"All-12"
"1606",0.0997318535653554,0.118884897810413,0.881115102189587,0.0212748216416515,12,"All-12"
"1607",0.0998560910154712,0.118884897810413,0.881115102189587,0.0211397384407214,12,"All-12"
"1608",0.0999486560569378,0.118884897810413,0.881115102189587,0.0210390683608298,12,"All-12"
"1609",0.0999809391286853,0.118884897810413,0.881115102189587,0.0210039536978542,12,"All-12"
"1610",0.100113887349642,0.118884897810413,0.881115102189587,0.020859317859108,12,"All-12"
"1611",0.100127220138417,0.118884897810413,0.881115102189587,0.0208448106129862,12,"All-12"
"1612",0.100331473229212,0.118884897810413,0.881115102189587,0.0206225115463306,12,"All-12"
"1613",0.100943583743822,0.118884897810413,0.881115102189587,0.0199557155059314,12,"All-12"
"1614",0.101109143192416,0.118884897810413,0.881115102189587,0.0197752090627853,12,"All-12"
"1615",0.101385216944726,0.118884897810413,0.881115102189587,0.0194740629640964,12,"All-12"
